"No.","Time","Source","Destination","Protocol","Length","Info"
"2630","12.498222","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2631","12.498222","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2632","12.498222","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2633","12.498222","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2634","12.498222","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2635","12.498222","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2636","12.498222","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2637","12.498465","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2638","12.500460","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2639","12.501428","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2640","12.501428","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2641","12.501428","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2642","12.501428","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2643","12.501428","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2644","12.501634","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2645","12.504179","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2646","12.504906","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2647","12.504906","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2648","12.504906","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2649","12.507724","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2650","12.510783","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"2651","12.513026","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2652","12.513026","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2653","12.513026","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2654","12.514674","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2655","12.523982","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2656","12.524181","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2657","12.525012","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2658","12.525012","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2659","12.525012","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2660","12.525012","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2661","12.525012","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2662","12.526112","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2663","12.526112","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2664","12.526112","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2665","12.526112","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2666","12.526112","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2667","12.526373","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2668","12.528116","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2669","12.534927","192.168.43.144","142.251.10.136","TCP","55","49475  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"2670","12.535307","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2671","12.535519","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
